filename	date	time	dt_iso	preview
2024-08-17__397__цвет_не_окончательный.md	2024-08-17	03:36	2024-08-17T03:36:02+08:00	Цвет не окончательный
2024-08-17__398__ретуши.md	2024-08-17	03:36	2024-08-17T03:36:02+08:00	Без ретуши
2024-08-17__404__сегодня_утра_скандалила_домочадцами_пошло_пользу_сначала.md	2024-08-17	03:36	2024-08-17T03:36:52+08:00	Сегодня я с утра скандалила с домочадцами, и это пошло на пользу. Сначала у нас с Вадимом разошлись стратегии воспитания. Из-за отсутствия у Ежи мотивации чт…
2024-08-18__415__день_был_усладой_души_проснулась_покормила_детей.md	2024-08-18	03:37	2024-08-18T03:37:19+08:00	День был просто усладой души. Я проснулась, покормила детей, они занимались русским, читали, предлагали помогать - кажется, благодаря этому шел процесс отдых…
2024-08-19__435__trigger_warning_этот_текст_содержит_упоминание_всяческого.md	2024-08-19	03:24	2024-08-19T03:24:54+08:00	Trigger Warning: этот текст содержит упоминание всяческого гедонизма, праздности и несущественных мелочей, и возможно будет раздражать, если у вас был сложны…
2024-08-19__436__оказалось_настоящая_сокровищница_цены_вообще_сказка_сравнению.md	2024-08-19	03:24	2024-08-19T03:24:54+08:00	Оказалось, там настоящая сокровищница и цены вообще сказка, по сравнению с «Железным Фениксом». И там оказался второй экземпляр того чайного набора! И.. он -…
2024-08-20__448__хочу_ручки_рому_привезли_через_2_часа.md	2024-08-20	03:23	2024-08-20T03:23:38+08:00	Хочу на ручки. Рому привезли и я через 2 часа хотела лезть на стену. Вышла отсидеться в другом доме хотя бы 40 минут, вдохнуть выдохнуть и отправиться в бой.…
2024-08-20__449__книжка_которую_спрашивали_немного_утренних_вайбов.md	2024-08-20	15:17	2024-08-20T15:17:18+08:00	Книжка про которую вы спрашивали и немного утренних вайбов 🤪
2024-08-20__455__детстве_читала_дарью_донцову_когда_попадалась_под.md	2024-08-20	23:49	2024-08-20T23:49:09+08:00	В детстве я читала Дарью Донцову, когда она попадалась под руку. Не помню, чтобы в семье такое покупали, при профессорской библиотеке-то  - скорее я брала гд…
2024-08-21__460__так_день.md	2024-08-21	03:34	2024-08-21T03:34:55+08:00	Так, день.  Ничего не происходило. Выспалась на 94 процента, дочитала книжку, сделала две тренировки - сегодня в разное время дня, потому что знала что трени…
2024-08-22__468__особенно_ничего_не_происходило_ощущениям.md	2024-08-22	04:06	2024-08-22T04:06:08+08:00	Особенно ничего не происходило по ощущениям.  Я выспалась на 100%, потому что спала в другом доме, а с детьми была Наташа. Спокойный завтрак под сериальчик (…
2024-08-23__479__начну_конца_невероятный_кайф_сидеть_чистой_кухне.md	2024-08-23	02:58	2024-08-23T02:58:20+08:00	Начну с конца. Невероятный кайф сидеть на чистой кухне, все дети в кроватках, в чайнике - «мана сна», горит благовоние из Muka, я ем творог и смотрю фильм Зв…
2024-08-24__490__сначала_напишу_день_писала_инсте_вадим_определил.md	2024-08-24	02:46	2024-08-24T02:46:58+08:00	Сначала напишу про день. Как я уже писала в инсте, Вадим определил проблему в том, что я три раза помыла стол за утро. Стол у нас слишком большой и еще темны…
2024-08-24__501__дом_вадимчика_фоткала_настя_волосович.md	2024-08-24	03:20	2024-08-24T03:20:48+08:00	А это дом Вадимчика, фоткала Настя Волосович
2024-08-24__511__так_теперь_выполняю_заказ_рассказом_дом_хотела.md	2024-08-24	03:22	2024-08-24T03:22:39+08:00	Так, теперь выполняю заказ с рассказом про дом. Я хотела дом в Красной Поляне, но он был мне не по карману. Но я все равно ездила смотрела разные варианты в …
2024-08-25__530__trigger_warning_гедонизм_выходного_дня.md	2024-08-25	03:08	2024-08-25T03:08:35+08:00	TRIGGER WARNING: гедонизм выходного дня  Сегодня мы не совершали ошибку прошлых выходных, и не ставили себе ранних дел в Поляне, а выспались как следует.  По…
2024-08-26__549__все_раннее_детство_старших_парней_работала_моталась.md	2024-08-26	03:10	2024-08-26T03:10:00+08:00	Все раннее детство старших парней я работала, моталась между Питером, Москвой и другими городами, проводила с ними не так много времени, и я даже не знаю -му…
2024-08-26__550__доброе_утро_понедельника_приглашаю_вас_вписаться_виртуальный.md	2024-08-26	14:25	2024-08-26T14:25:08+08:00	В это доброе утро понедельника приглашаю вас вписаться в виртуальный лагерь про постоянство от моих любимых женщин-предпринимателей, весь сентябрь будем учит…
2024-08-27__562__сил_сегодня_первый_день_сами_понимаете_чего.md	2024-08-27	01:33	2024-08-27T01:33:41+08:00	Сил сегодня просто нет. Первый день сами понимаете чего, хочется просто лежать под пледиком, но надо вставать и делать всякое.  Вчера Вадим придумал челлендж…
2024-08-27__563__10_подписчиков_хочу_отметить_чем_выложу_свои.md	2024-08-27	04:13	2024-08-27T04:13:13+08:00	10 к подписчиков хочу отметить вот чем. Выложу свои мерки для гидрокостюма, сняла сегодня наконец 😆  Меня в инсте часто о них спрашивают, и в целом я могу по…
2024-08-28__574__почему_когда_остаешься_детьми_один_получаешь_их.md	2024-08-28	03:11	2024-08-28T03:11:54+08:00	Почему когда остаешься с детьми один - получаешь их лучшую версию? Пупсики сегодня были идеальны, и поспать дали, и во всем помогали, и заботились обо мне.  …
2024-08-28__575__самом_деле_делаю_chatgpt.md	2024-08-28	16:28	2024-08-28T16:28:18+08:00	Что я на самом деле делаю с ChatGPT.  Увидела мем в твиттере и попросила раздуть, как это было бы на самом деле.  Ор выше гор  ---  День 1: Введение участник…
