filename	date	time	dt_iso	preview
2020-11-16__84__опоздании_ничего_страшного_не_могла_успокоится_сейчас.md	2020-11-16	02:03	2020-11-16T02:03:22+08:00	опоздании ничего страшного, я не могла успокоится. Сейчас замечаю эти черты в своем старшем сыне - он тоже преувеличивает важность всего, что касается учебы.…
2020-11-16__86__спасибо_огромное_отзывы_вдохновляет_делиться_начала_писать.md	2020-11-16	16:27	2020-11-16T16:27:20+08:00	Спасибо огромное за отзывы! Это очень вдохновляет делиться. Я начала писать книгу о детстве, меня вдохновили сеансы терапии - я почему-то сформулировала, что…
2020-11-16__87__зато_друзья_дворе_все_лето_перед_школой.md	2020-11-16	17:02	2020-11-16T17:02:06+08:00	Зато у меня были друзья во дворе. Все лето перед школой я аккуратно притиралась к компании из моего подъезда и из соседнего. В моем жили три девочки: Таня с …
2020-11-16__88__должен_жить_конкретно_этот_ребенок_него_была.md	2020-11-16	17:02	2020-11-16T17:02:06+08:00	должен жить конкретно этот ребенок. У него была то ли астма, то ли брохит - какие-то хронические заболевания, которые обязательно должны были обостряться от …
2020-11-16__89__возможно_всем_было_лучше.md	2020-11-16	17:02	2020-11-16T17:02:06+08:00	возможно, всем было бы лучше.
2020-11-17__90__сейчас_вечерняя_порция_чтива.md	2020-11-17	01:38	2020-11-17T01:38:45+08:00	Сейчас будет вечерняя порция чтива)
2020-11-17__91__наша_жизнь_улице_фрунзе_была_стабильной_интересной.md	2020-11-17	01:38	2020-11-17T01:38:59+08:00	Наша жизнь на улице Фрунзе была стабильной и интересной. Квартира эта случилась с нами благодаря обмену комнаты Аллы на ЖБИ и нашей квартиры на Алмаатинском.…
2020-11-17__92__потом_случилось_страшное_одна_девочек_элитной_тусовки.md	2020-11-17	01:38	2020-11-17T01:38:59+08:00	Потом случилось страшное. Одна из девочек из элитной тусовки обратила на меня внимание, но в каком-то негативном ключе. Когда на меня не обращают внимание - …
2020-11-17__93__кружок_едущих_кипр_стал_самым_манящим_эти.md	2020-11-17	14:57	2020-11-17T14:57:03+08:00	Кружок «едущих на Кипр» стал самым манящим - эти и без того далекие обеспеченные девочки теперь после каждого урока собирались в кружок, и до меня то и дело …
2020-11-17__94__тот_раз_мама_алла_ее_мама_поехали.md	2020-11-17	14:57	2020-11-17T14:57:03+08:00	В тот раз мама Алла и ее мама поехали отдыхать вдвоем с тремя детьми и естественно, пришлось им нелегко. Я хорошо плавала и за мной в море не смотрели. Однаж…
2020-11-17__95__даже_сказала_злая_был_выбор_бежать_ним.md	2020-11-17	14:57	2020-11-17T14:57:03+08:00	я бы даже сказала злая. У меня был выбор - бежать к ним, вглубь поля, или бежать в сторону дома, одной. И я побежала к дому.
2020-11-17__96__та_самая_поездочка.md	2020-11-17	23:59	2020-11-17T23:59:34+08:00	Та самая поездочка :)
2020-11-18__97__дачу_всегда_ездила_моей_бабушке_маме_моей.md	2020-11-18	00:21	2020-11-18T00:21:48+08:00	На дачу я всегда ездила к «моей» бабушке, к маме моей мамы. Зовут ее Нина Николаевна, и мне кажется, больше всего я похожа на нее. Бабушка меня страшно любил…
2020-11-18__98__каталась_велосипеде_горы_огромными_камнями_приходила_домой.md	2020-11-18	00:21	2020-11-18T00:21:49+08:00	Я каталась на велосипеде с горы с огромными камнями, приходила домой с ободранными коленками, придумывала «мороженное» из жимолости и ревня. Сначала ревень н…
2020-11-18__100__1997_год_10.md	2020-11-18	13:58	2020-11-18T13:58:16+08:00	1997 год! Мне 10
2020-11-18__101__даче_любимой_курицей.md	2020-11-18	14:00	2020-11-18T14:00:24+08:00	На даче с любимой курицей
2020-11-18__102__каждый_день_собирала_подруг_спускаясь_девятого_этажа.md	2020-11-18	14:44	2020-11-18T14:44:18+08:00	Каждый день я собирала подруг, спускаясь с девятого этажа на первый, а потом мы вместе заходили за Антоном, или кричали его из окна. Я так любила запах стира…
2020-11-18__103__ю_чего-то.md	2020-11-18	14:44	2020-11-18T14:44:18+08:00	ю чего-то»  Мой двор спасал меня от школы, где я чувствовала себя лишней, бесполезной и серой. Были какие-то проблески радости, например, моя подруга Леся Ла…
